,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,50382.0,0.0,62196.0,52976.0,50382.0,52976.0,0.0,62196.0,62196.0,62196.0,59437.0,38644.0,62196.0,62196.0,61703.0,62195.0,0.0,62196.0
mean,22.500992417927037,,75.72015885265934,2574.44691935971,30.420388233893057,286.78669586227727,,36.31254894527046,275522527.7556756,-93.28665670621835,33077.83503541565,1.6876876099782632,41623.644164415724,990.7668660364011,4.388205775166332,237176.59651097356,,2017.2081484339828
std,10.105251322598129,,120.10952075115887,791.5056207075357,8.643668804670897,81.02607247213628,,4.694837856721588,9939780.944579765,17.123252106084323,38944.663676132564,1.0511797920310366,26126.230008599236,1507.9632605394866,0.4013793894253978,130483.94919579537,,4.104173100852494
min,10.0,,0.0,700.0,16.0,101.0,,18.3467,79681954.0,-123.808,0.0,1.0,500.0,0.0,1.0,41593.0,,1957.0
25%,19.0,,11.0,2000.0,26.0,240.0,,33.5092,274805166.75,-111.971,15.0,1.0,23900.0,0.0,4.208333333333333,62774.0,,2016.0
50%,22.0,,31.0,2000.0,30.0,255.0,,36.1451,278911251.5,-87.8662,21880.0,1.0,38895.0,379.0,4.448275862068965,282435.0,,2018.0
75%,24.0,,79.0,3000.0,33.0,320.0,,40.523425,280847236.0,-79.7871,49223.0,2.0,53120.25,1477.25,4.651162790697675,337828.0,,2020.0
max,127.0,,2393.0,6600.0,111.0,617.0,,48.5365,282022170.0,-66.1098,348250.0,16.0,1750000.0,56556.0,5.0,440456.0,,2021.0
