,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,84598.0,0.0,91376.0,89306.0,84598.0,89306.0,0.0,91376.0,91376.0,91376.0,87439.0,56969.0,91376.0,91376.0,89802.0,91370.0,0.0,91376.0
mean,17.145464431783257,,72.20820565575205,3866.2922983898056,25.307063996784795,293.5270418560903,,36.62338603243721,275764579.5980892,-91.88884752341963,43179.19469573074,1.6632203479085117,23991.215116846877,678.898966905971,4.198177463920635,261558.2431104301,,2016.9499102609
std,2.355343398568955,,111.82580277226799,1148.79410491177,3.461531837426145,89.18239897932624,,4.9457619454064226,9277087.946112424,13.040814712950914,52145.34705469229,1.0598285956079014,13341.172042350183,994.9209887458509,0.5656117509616072,127002.71053953802,,4.6493972240866235
min,8.0,,0.0,1400.0,11.0,84.0,,18.3988,19946203.0,-157.902,0.0,1.0,389.0,0.0,1.0,42950.0,,1941.0
25%,16.0,,15.0,3600.0,24.0,283.0,,33.2883,275025965.5,-97.3766,12.0,1.0,16595.0,0.0,3.941176470588236,116360.0,,2016.0
50%,17.0,,37.0,3600.0,25.0,283.0,,36.5568,278437283.0,-88.5357,29579.0,1.0,22750.0,206.0,4.285714285714286,291493.0,,2019.0
75%,19.0,,77.0,3600.0,26.0,303.0,,40.6966,280368236.25,-82.1227,63836.0,2.0,29994.0,1071.0,4.571428571428571,361933.0,,2020.0
max,28.0,,3599.0,8400.0,41.0,808.0,,61.1289,281995506.0,-66.1582,399578.0,19.0,1599500.0,31899.0,5.0,440521.0,,2020.0
