,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,47397.0,0.0,53754.0,50612.0,47397.0,50612.0,0.0,53754.0,53754.0,53754.0,49999.0,23608.0,53754.0,53754.0,52862.0,53753.0,0.0,53754.0
mean,24.30959765385995,,62.012557205045205,2444.200980004742,31.19984387197502,190.66968307911168,,36.64013810692871,276653311.00558096,-91.534568510247,25811.213504270087,1.4439596746865468,24271.010313465045,345.9302005432154,4.286078532600573,259839.911204956,,2018.0415969044163
std,2.448425582035896,,95.35196299568901,261.80258535331745,3.4599912349651794,29.600543355729513,,5.145550576755395,7767758.578938378,15.209543745764913,40854.495144161454,0.856745926643005,8690.59998264878,611.4869192820171,0.5098807814754821,120752.53881623084,,3.4507977245771335
min,14.0,,0.0,1300.0,17.0,92.0,,18.3988,96125890.0,-157.86,0.0,1.0,347.0,0.0,1.0,42822.0,,1982.0
25%,24.0,,10.0,2500.0,30.0,184.0,,33.099624999999996,275954909.5,-98.3604,4.0,1.0,18990.0,0.0,4.0,167784.0,,2017.0
50%,24.0,,27.0,2500.0,31.0,187.0,,37.7447,279304063.5,-87.834,53.0,1.0,25894.0,0.0,4.410256410256411,285469.0,,2020.0
75%,26.0,,66.0,2500.0,33.0,187.0,,40.8135,280881182.5,-80.0717,35795.5,2.0,30077.0,498.0,4.611111111111111,343642.0,,2020.0
max,30.0,,2183.0,4000.0,41.0,274.0,,48.6006,281992116.0,-66.1582,339236.0,11.0,300450.0,5595.0,5.0,440485.0,,2021.0
