,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,61359.0,0.0,102545.0,92525.0,61359.0,92525.0,0.0,102545.0,102545.0,102545.0,95996.0,31407.0,102545.0,102545.0,101302.0,102544.0,0.0,102545.0
mean,15.791505728580974,,83.36583938758594,5474.883544987842,22.158428266431983,366.45994055660634,,36.85623499439407,274920998.8004583,-91.12628145886279,19713.06634651444,1.3452415066704875,43438.32434540933,481.32604222536446,4.217909854496239,240116.03076728038,,2018.96315763811
std,1.9042984105148335,,114.02582905463827,1139.743382737859,2.3303513644993537,52.00066788577929,,5.097753594287998,9329982.607435308,12.492656592660508,324851.4209463718,0.6695577135562726,14377.002455219148,1075.5219917325471,0.5249527648956054,127015.45786377008,,1.967443538365482
min,13.0,,0.0,2400.0,18.0,174.0,,24.5589,109449063.0,-123.401,0.0,1.0,2995.0,0.0,1.0,42950.0,,2011.0
25%,15.0,,16.0,5700.0,21.0,370.0,,32.9873,274073116.0,-97.1808,5.0,1.0,32998.0,0.0,4.0,63237.0,,2019.0
50%,15.0,,40.0,5700.0,21.0,395.0,,36.7537,278213919.0,-89.5105,14.0,1.0,42270.0,0.0,4.290322580645161,283541.0,,2020.0
75%,15.0,,88.0,6400.0,22.0,395.0,,41.0784,280269746.0,-81.5111,21478.0,2.0,53302.0,357.0,4.5625,336308.0,,2020.0
max,22.0,,2003.0,6700.0,32.0,410.0,,48.8771,281990015.0,-67.2267,99999988.0,7.0,222000.0,20839.0,5.0,440460.0,,2021.0
