,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,62024.0,0.0,69729.0,65534.0,62024.0,65534.0,0.0,69729.0,69729.0,69729.0,67755.0,36502.0,69729.0,69729.0,68717.0,69726.0,0.0,69729.0
mean,24.933751451051204,,46.39006726039381,2383.127842036195,31.993631497484845,183.18031861323894,,39.05403149334857,277857043.1327138,-89.13523782788687,30967.471669987455,1.3988274615089584,25334.62546487114,423.4742072882158,4.358212246521029,240407.3721137022,,2017.9402400722797
std,2.7430784498525886,,75.52967198277031,286.39714286124286,3.1790849593264787,34.783208726922524,,4.280370547925738,6138949.929684147,15.807715506629288,44204.84946629573,0.7738052397490404,9445.979132529672,669.5649599335073,0.4568674070634719,125976.97739778177,,3.4189334535831715
min,15.0,,0.0,1800.0,21.0,110.0,,18.3467,124636815.0,-123.197,0.0,1.0,498.0,0.0,1.0,41928.0,,1991.0
25%,24.0,,10.0,2000.0,32.0,170.0,,36.3062,277486564.0,-97.7299,2.0,1.0,18999.0,0.0,4.132075471698113,67935.0,,2017.0
50%,26.0,,22.0,2500.0,33.0,175.0,,40.0509,279741345.0,-84.128,9371.0,1.0,25998.0,0.0,4.428571428571429,282029.5,,2019.0
75%,27.0,,47.0,2500.0,33.0,182.0,,41.9526,280844379.0,-75.7152,44381.0,2.0,31647.0,668.0,4.666666666666667,335028.0,,2020.0
max,36.0,,1813.0,3600.0,38.0,341.0,,48.8868,281997817.0,-66.1098,368000.0,12.0,215000.0,7761.0,5.0,440679.0,,2021.0
