,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,76471.0,0.0,99293.0,97219.0,76471.0,97219.0,0.0,99293.0,99293.0,99293.0,94268.0,52020.0,99293.0,99293.0,97846.0,99292.0,0.0,99293.0
mean,18.620091276431587,,62.521184776368926,4288.697682551765,24.53128636999647,320.4634382168095,,37.410629763428204,276528450.12460095,-90.20210875288619,37899.00288539059,1.5425221068819686,36866.27065865671,628.5004783821619,4.3274327742983605,230070.97967610683,,2017.6110400531759
std,3.8799375192351273,,102.10278614100716,1733.1678795007977,3.7195578320981415,83.3124585834977,,5.013618049294111,8419590.593368603,12.109058674739854,51813.65602208626,0.9249603486128576,18491.519209113838,1015.5541962088004,0.46945086100745853,133809.85783596654,,3.881338490957044
min,9.0,,0.0,1500.0,12.0,118.0,,24.5589,58515071.0,-149.864,0.0,1.0,484.0,0.0,1.0,41928.0,,1959.0
25%,15.0,,13.0,2500.0,22.0,252.0,,33.6382,276460270.0,-96.1114,5.0,1.0,23788.0,0.0,4.107142857142857,53402.25,,2017.0
50%,18.0,,29.0,3600.0,25.0,310.0,,38.5177,279108495.0,-87.9822,17261.0,1.0,33995.0,1.0,4.387096774193548,282047.0,,2019.0
75%,21.0,,60.0,6200.0,28.0,420.0,,41.4619,280624709.0,-81.8486,55412.75,2.0,47460.0,955.0,4.647058823529412,328824.0,,2020.0
max,28.0,,2688.0,8100.0,39.0,445.0,,61.1618,281990016.0,-67.2267,397662.0,15.0,425460.0,18312.0,5.0,440655.0,,2021.0
