,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,25864.0,0.0,36370.0,34906.0,25864.0,34906.0,0.0,36370.0,36370.0,36370.0,35618.0,22234.0,36370.0,36370.0,36205.0,36368.0,0.0,36370.0
mean,22.642901330034025,,66.51446246906791,2397.272675184782,29.766122796164552,274.22113676731794,,36.83005504261656,276265027.674402,-92.07733986252404,30023.980066258635,1.549113969596114,41994.49466593346,752.4742370085235,4.386700802958286,265052.47544544656,,2017.4730547154247
std,11.260055178378423,,91.4206334152681,667.8029356664757,10.345084531062959,78.13466204654915,,4.955579616983715,7395374.629313375,16.951512263300064,36841.87207284557,0.917720310012029,25792.92680128131,1161.4511518312886,0.37993613220064937,122602.51715949553,,3.229046241614966
min,11.0,,0.0,1400.0,17.0,140.0,,25.4597,136350347.0,-123.808,0.0,1.0,495.0,0.0,1.0,41593.0,,1990.0
25%,19.0,,14.0,2000.0,25.0,220.0,,33.6472,275191105.5,-106.58,15.0,1.0,24998.0,0.0,4.225806451612903,187342.0,,2017.0
50%,20.0,,34.0,2000.0,28.0,248.0,,37.9631,278671204.5,-86.7959,18444.0,1.0,38395.0,215.0,4.439024390243903,290978.0,,2018.0
75%,22.0,,76.0,3000.0,30.0,333.0,,40.785,280476754.0,-77.4568,44828.5,2.0,51550.0,1176.0,4.607142857142857,361877.5,,2020.0
max,81.0,,1667.0,6300.0,86.0,611.0,,48.8868,282002629.0,-68.3894,255524.0,10.0,500000.0,36867.0,5.0,440441.0,,2021.0
