,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,8080.0,0.0,12943.0,11482.0,8080.0,11482.0,0.0,12943.0,12943.0,12943.0,12642.0,7188.0,12943.0,12943.0,12804.0,12941.0,0.0,12943.0
mean,22.04517326732673,,92.17383914084833,3080.5347500435464,27.256930693069307,357.91395227312313,,35.74982718844067,274186677.6261299,-93.60237719230295,22734.191662711597,1.954646633277685,80395.7248319555,1708.5254577764042,4.533124414909123,261146.96839502358,,2016.134203816735
std,13.307518541358858,,130.39560625013823,716.6733723533664,12.390131649122775,91.48848333029913,,4.930848081141991,10852451.790813386,16.597149338263087,30633.04544570159,1.3647052116839773,55703.146723357844,3720.5859360755376,0.3762437164162297,123530.62132847536,,6.863876626706938
min,9.0,,0.0,2000.0,15.0,143.0,,25.6039,132169250.0,-122.526,0.0,1.0,3350.0,0.0,1.0,43037.0,,1955.0
25%,17.0,,16.0,2900.0,23.0,300.0,,32.9282,272427710.5,-111.904,13.0,1.0,48554.5,0.0,4.387755102040816,103920.0,,2016.0
50%,19.0,,42.0,3000.0,23.0,340.0,,35.6002,278036475.0,-87.9791,8163.0,1.0,69860.0,157.0,4.6,290490.0,,2018.0
75%,19.0,,112.0,3600.0,25.0,420.0,,40.1005,280278612.0,-80.1748,35929.0,2.0,98998.0,2230.5,4.791666666666667,352313.0,,2020.0
max,68.0,,1721.0,5700.0,71.0,887.0,,47.8467,282007505.0,-69.7748,300042.0,10.0,1499999.0,130021.0,5.0,440395.0,,2021.0
