,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,13135.0,0.0,14976.0,14528.0,13135.0,14528.0,0.0,14976.0,14976.0,14976.0,14605.0,8689.0,14976.0,14976.0,14863.0,14975.0,0.0,14976.0
mean,18.27323943661972,,114.82391826923077,2924.6971365638765,23.903616292348687,325.2087004405286,,36.600727457264675,272444850.9526576,-90.8680373731273,27090.47018144471,1.5001726320635287,54643.37984775641,1060.1554487179487,4.4026846387408725,291999.3572621035,,2017.605702457265
std,3.748755883790933,,143.10694196845876,1089.8910537031102,3.864540297242159,95.86336649710324,,5.012975778452049,11812185.098006282,16.027100981705654,34725.68078091756,0.9149018089952293,28063.855872551354,1680.3745610777153,0.47152479673573156,107904.66661599546,,3.800278287061464
min,9.0,,0.0,2000.0,11.0,174.0,,18.4439,125857945.0,-123.197,0.0,1.0,1350.0,0.0,1.0,41593.0,,1965.0
25%,16.0,,18.0,2000.0,21.0,246.0,,33.4658,267301470.5,-98.5947,19.0,1.0,35775.75,0.0,4.2,275935.0,,2017.0
50%,19.0,,48.0,3000.0,24.0,300.0,,37.505,277502450.0,-86.12155,14423.0,1.0,50483.5,202.0,4.465909090909091,297450.0,,2019.0
75%,20.0,,194.0,3000.0,27.0,380.0,,40.854,280125762.0,-77.4948,39795.0,2.0,67331.25,1594.0,4.7,375609.0,,2020.0
max,42.0,,1799.0,5000.0,42.0,575.0,,48.6971,281980680.0,-66.0785,226081.0,12.0,699900.0,24380.0,5.0,440456.0,,2020.0
