,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,8152.0,0.0,8565.0,7944.0,8152.0,7944.0,0.0,8565.0,8565.0,8565.0,8338.0,4634.0,8565.0,8565.0,8487.0,8565.0,0.0,8565.0
mean,24.180201177625122,,150.75645067133684,2659.9320241691844,30.307041216879295,303.65634441087616,,36.47374127262118,269404387.4149445,-91.72454235843513,20528.797913168626,1.476909797151489,46445.39113134851,827.3572679509632,4.410635380863875,297555.39684763574,,2017.449270286048
std,14.706853262194612,,183.3337608307791,923.1039523656075,11.411651832688435,81.14575460955706,,4.893011627317635,15500960.413277626,15.599429091840713,28474.323524873736,0.9676428520038562,21326.247214607574,1421.6000253364505,0.45538635457809523,100355.4177140727,,4.926730888381296
min,11.0,,0.0,2000.0,15.0,176.0,,18.4439,72505346.0,-122.878,0.0,1.0,999.0,0.0,1.0,44008.0,,1950.0
25%,18.0,,28.0,2000.0,25.0,247.0,,33.1861,264742130.0,-97.7686,16.0,1.0,32585.0,0.0,4.185185185185185,277559.0,,2017.0
50%,21.0,,72.0,2000.0,27.0,296.0,,37.3232,275362487.0,-87.6704,7817.5,1.0,45324.0,0.0,4.482758620689655,297512.0,,2019.0
75%,22.0,,222.0,3000.0,30.0,340.0,,40.8325,279221747.0,-80.1572,31053.75,2.0,57545.0,1212.0,4.727272727272728,371590.0,,2020.0
max,80.0,,2500.0,6000.0,72.0,592.0,,48.1452,281991105.0,-66.0785,263902.0,10.0,199999.0,13926.0,5.0,440485.0,,2021.0
