,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,3470.0,0.0,4401.0,3561.0,3470.0,3561.0,0.0,4401.0,4401.0,4401.0,4376.0,1734.0,4401.0,4401.0,4395.0,4401.0,0.0,4401.0
mean,22.55187319884726,,86.73596909793228,2025.273799494524,29.828818443804035,284.38079191238415,,35.78188725289756,274708333.8220859,-87.74642485798744,9052.39739488117,1.1459054209919262,39994.855260168144,570.9836400817995,4.34143552186884,302884.0829356964,,2018.7368779822768
std,1.262374645125134,,114.45248040929073,161.52830312179705,2.283099838039949,40.842928940378485,,5.941686845693744,9349898.847319596,14.463060896461293,13725.725785499426,0.5016337581217748,12183.802570782973,1106.1349189059981,0.4533960830611807,95172.41520798049,,3.8192486381329265
min,17.0,,0.0,1700.0,23.0,111.0,,18.3467,171865107.0,-122.719,0.0,1.0,2900.0,0.0,1.0,44627.0,,1957.0
25%,22.0,,15.0,2000.0,28.0,280.0,,30.0994,271563089.0,-95.572,10.0,1.0,30500.0,0.0,4.127016129032258,287476.0,,2018.0
50%,22.0,,35.0,2000.0,29.0,280.0,,36.8836,278659796.0,-81.8371,19.0,1.0,41340.0,0.0,4.5,303487.0,,2020.0
75%,23.0,,126.0,2000.0,31.0,280.0,,41.0524,280331763.0,-77.2306,18115.5,1.0,46545.0,718.0,4.625,370682.0,,2020.0
max,24.0,,1252.0,4700.0,34.0,505.0,,48.2084,281884308.0,-66.1098,146500.0,6.0,353900.0,12950.0,5.0,440395.0,,2020.0
