,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,25382.0,0.0,28374.0,27681.0,25382.0,27681.0,0.0,28374.0,28374.0,28374.0,27068.0,18881.0,28374.0,28374.0,27994.0,28373.0,0.0,28374.0
mean,18.654952328421714,,83.93314301825615,3475.9799140204473,25.643211724844377,306.5259203063473,,35.802401807996254,274837863.3835201,-91.48274635581483,35928.61046253879,1.48397860282824,34800.91017692254,835.2930499753295,4.353200033164712,248562.32908046382,,2017.2865299217594
std,2.7947960591262464,,115.08331224836681,995.7271256952517,3.2731939634970435,49.01630820546338,,4.910665976793023,9364645.640196022,14.973874569070414,41622.45609477051,0.8597460802024113,15808.51093097971,1132.9677899129088,0.4751003009002609,127318.38818086551,,3.423926994405721
min,12.0,,0.0,2000.0,17.0,140.0,,25.4597,115985195.0,-123.808,0.0,1.0,700.0,0.0,1.0,43037.0,,1991.0
25%,17.0,,17.0,3000.0,24.0,295.0,,32.9211,274667016.75,-97.7297,14.0,1.0,23488.0,0.0,4.090909090909091,68061.0,,2017.0
50%,19.0,,40.0,3500.0,26.0,295.0,,35.7069,278195167.5,-87.2466,27184.0,1.0,31990.0,368.5,4.4409272183449655,283817.0,,2018.0
75%,20.0,,81.0,3700.0,27.0,325.0,,40.0774,280230011.5,-80.2422,46798.25,2.0,46873.0,1308.0,4.6875,345060.0,,2020.0
max,29.0,,1921.0,5600.0,36.0,420.0,,48.2193,281992119.0,-68.8157,348649.0,13.0,219998.0,12286.0,5.0,440698.0,,2021.0
