,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,34249.0,0.0,36397.0,35912.0,34249.0,35912.0,0.0,36397.0,36397.0,36397.0,35002.0,23788.0,36397.0,36397.0,35724.0,36395.0,0.0,36397.0
mean,18.801716838447838,,82.9547490177762,3522.89763867231,28.11042658179801,273.1429048785921,,37.458281341868165,274881217.8117977,-90.27745548534172,46937.081681046795,1.7565999663695981,23715.433597549247,598.2333159326319,4.240971899494884,258042.4911388927,,2016.5933181306152
std,2.263829898058893,,125.31516773617149,479.4063511180185,2.780525756693795,39.196304313583894,,4.916183488813378,10377162.865519727,12.534296569844182,49768.443032273244,1.0485886433226186,12580.463473222313,848.712156676066,0.5438277328778003,126688.03536318467,,4.598825972285516
min,11.0,,0.0,2000.0,16.0,90.0,,24.5589,20498116.0,-123.197,0.0,1.0,299.0,0.0,1.0,43444.0,,1937.0
25%,18.0,,15.0,3600.0,27.0,283.0,,33.8156,274264484.0,-95.781,13.0,1.0,12575.0,0.0,4.0,92445.0,,2015.0
50%,19.0,,41.0,3600.0,28.0,287.0,,38.6251,278139996.0,-87.4726,33767.0,1.0,23995.0,187.0,4.310344827586207,291068.0,,2019.0
75%,19.0,,85.0,3600.0,30.0,292.0,,41.3712,280345302.0,-81.6029,79634.0,2.0,32650.0,949.0,4.6,349527.0,,2020.0
max,32.0,,3573.0,6400.0,36.0,470.0,,48.7831,281997815.0,-67.9693,340731.0,9.0,475000.0,7211.0,5.0,440485.0,,2020.0
