,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,89859.0,0.0,112330.0,103075.0,89859.0,103075.0,0.0,112330.0,112330.0,112330.0,106619.0,52342.0,112330.0,112330.0,109596.0,112330.0,0.0,112330.0
mean,25.370090920219454,,67.86948277396955,2274.37496968227,31.868883472996583,183.32564637399952,,36.31263287812731,276098600.6113505,-90.36131322175639,25553.322766111105,1.429139123457262,20479.67839597614,397.61724383512865,4.136983050431307,273489.68627258966,,2018.6328318347726
std,8.662597776641883,,96.00591109421448,548.2673717137867,6.971874755375311,49.39173854016355,,4.938753907714102,7909601.347014031,13.503025481170292,37137.37704559744,0.7369827397959996,8033.229766544709,663.5672643278652,0.6051048904523435,117532.0253115591,,2.7760472572903954
min,13.0,,0.0,1500.0,17.0,96.0,,21.3269,101690073.0,-157.902,0.0,1.0,250.0,0.0,1.0,42784.0,,1997.0
25%,21.0,,14.0,2000.0,26.0,147.0,,32.9912,274772151.5,-96.9308,9.0,1.0,15256.5,0.0,3.8333333333333335,275117.0,,2017.0
50%,24.0,,39.0,2000.0,31.0,181.0,,36.11065,278321421.5,-86.225,1305.0,1.0,19510.0,0.0,4.214285714285714,296615.0,,2020.0
75%,27.0,,79.0,2400.0,34.0,185.0,,40.4586,280562422.75,-81.12825000000001,38900.5,2.0,25190.75,609.0,4.5625,364345.0,,2021.0
max,124.0,,2113.0,5000.0,102.0,420.0,,48.9237,281992540.0,-67.2267,341690.0,10.0,203905.0,6199.0,5.0,440798.0,,2021.0
