,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,111413.0,0.0,136097.0,120422.0,111413.0,120422.0,0.0,136097.0,136097.0,136097.0,129493.0,57877.0,136097.0,136097.0,133848.0,136095.0,0.0,136097.0
mean,26.062209975496575,,84.73237470333659,2147.7454285761737,33.15185840072523,173.52105927488333,,36.46839250974894,274859964.6096681,-90.4391802963881,24701.75784791456,1.4840264699276051,21690.282527608968,347.2352292849953,4.156031530114894,261191.72333296595,,2018.5055364923546
std,9.248201082769137,,101.44552365367352,432.2123025507642,8.530266381868,36.19729493830172,,5.087281502897734,8095578.592195632,14.1161649438375,38072.898069964984,0.7916612464006814,8642.49048780488,619.9277964597716,0.6062827582711636,119640.25099845792,,2.931739281395113
min,15.0,,0.0,1400.0,19.0,92.0,,25.4537,113438991.0,-123.808,0.0,1.0,495.0,0.0,1.0,42627.0,,1997.0
25%,22.0,,18.0,2000.0,27.0,147.0,,33.1283,272369286.0,-97.3172,9.0,1.0,15830.0,0.0,3.838709677419355,205426.0,,2017.0
50%,25.0,,41.0,2000.0,33.0,173.0,,37.0659,278037553.0,-86.539,21.0,1.0,21312.0,0.0,4.258064516129032,288364.0,,2020.0
75%,28.0,,112.0,2400.0,37.0,185.0,,40.6708,280154975.0,-80.2637,37257.0,2.0,27045.0,493.0,4.555555555555555,343430.0,,2020.0
max,127.0,,1951.0,5000.0,122.0,429.0,,48.7635,282002666.0,-67.8405,999999.0,9.0,257500.0,5980.0,5.0,440485.0,,2021.0
