,0
Unnamed: 0,0.0
vin,0.0
back_legroom,4.974055119512688
bed,99.97328330384602
bed_height,91.91968367431753
bed_length,91.91968367431753
body_type,0.0005937043589774036
cabin,99.95487846871772
city,0.0
city_fuel_economy,11.220418680313951
combine_fuel_economy,100.0
daysonmarket,0.0
dealer_zip,0.0
description,1.3411781469299549
engine_cylinders,2.1860194497548004
engine_displacement,9.453554507997197
engine_type,2.1860194497548004
exterior_color,0.0005937043589774036
fleet,52.21986059821651
frame_damaged,52.21986059821651
franchise_dealer,0.0
franchise_make,15.957585760594654
front_legroom,4.974055119512688
fuel_tank_volume,4.974055119512688
fuel_type,2.1860194497548004
has_accidents,52.21986059821651
height,4.974055119512688
highway_fuel_economy,11.220418680313951
horsepower,9.453554507997197
interior_color,0.004749634871819229
isCab,52.21986059821651
is_certified,100.0
is_cpo,95.49853355023332
is_new,0.0
is_oemcpo,95.49853355023332
latitude,0.0
length,4.974055119512688
listed_date,0.0
listing_color,0.0
listing_id,0.0
longitude,0.0
main_picture_url,11.25247871569873
major_options,3.9433843523279144
make_name,0.0
maximum_seating,4.974055119512688
mileage,5.245378011565361
model_name,0.0
owner_count,54.09834119002102
power,9.56042129261313
price,0.0
salvage,52.21986059821651
savings_amount,0.0
seller_rating,1.0763860028260328
sp_id,0.0
sp_name,0.0
theft_title,52.21986059821651
torque,9.56042129261313
transmission,2.4775282900127054
transmission_display,2.4775282900127054
trimId,4.256266549509006
trim_name,4.278827315150148
vehicle_damage_category,100.0
wheel_system,8.249522067991023
wheel_system_display,8.249522067991023
wheelbase,4.974055119512688
width,4.974055119512688
year,0.0
pre_2000,0.0
