,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,19258.0,0.0,21707.0,20106.0,19258.0,20106.0,0.0,21707.0,21707.0,21707.0,20492.0,9364.0,21707.0,21707.0,20944.0,21707.0,0.0,21707.0
mean,21.29037283206979,,104.92928548394526,2120.3919228091117,29.24353515422162,273.7592758380583,,37.22427789653266,273179301.7432625,-87.73742401068866,26792.037575639275,1.5226398974797095,40853.54811811858,480.7601695305662,4.38228380125977,242575.80273644446,,2018.0925047219791
std,4.595799242438217,,132.46957346953388,332.5692461564726,4.51622785897615,46.28178718106587,,4.780319597981297,10856469.177251445,14.75152256524235,43045.86878552805,0.8852934896549819,17992.18148573655,924.0411589138128,0.45389148569169335,129869.85206295965,,3.9557480947300476
min,13.0,,0.0,1900.0,19.0,111.0,,25.5961,41088846.0,-122.873,0.0,1.0,349.0,0.0,1.0,42822.0,,1973.0
25%,20.0,,19.0,2000.0,27.0,248.0,,33.8588,269698364.5,-95.573,5.0,1.0,29218.0,0.0,4.208605072463768,65765.0,,2017.0
50%,21.0,,49.0,2000.0,29.0,250.0,,38.613,277356945.0,-82.679,264.5,1.0,43765.0,0.0,4.461538461538462,283565.0,,2020.0
75%,22.0,,165.0,2000.0,31.0,316.0,,40.899,280057368.5,-76.4542,35817.25,2.0,53405.0,645.0,4.666666666666667,340496.5,,2020.0
max,74.0,,2976.0,4400.0,74.0,415.0,,48.3043,281992112.0,-68.7434,298978.0,11.0,178708.0,17010.0,5.0,440456.0,,2021.0
