,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,3194.0,0.0,3377.0,3332.0,3194.0,3332.0,0.0,3377.0,3377.0,3377.0,3235.0,2090.0,3377.0,3377.0,3344.0,3377.0,0.0,3377.0
mean,15.27489041953663,,106.80278353568256,3236.6446578631453,22.387601753287413,398.8487394957983,,35.781141131181585,272875601.96772283,-88.86489940775866,19047.202163833077,1.5157894736842106,62811.47882736156,1329.8827361563517,4.366427674101309,311129.5114006515,,2017.3962096535386
std,1.3208494798668116,,165.76167248706616,554.5195673263933,2.0199559543335797,46.31486020495806,,5.277810748346932,14051990.558407713,15.711039207942523,19033.88216629174,0.95619192142706,29761.31566032904,2134.010380845854,0.5055375475832352,96885.51233394457,,3.114989724616796
min,10.0,,0.0,3000.0,14.0,345.0,,25.4941,115171931.0,-122.52,0.0,1.0,9900.0,0.0,1.0,41593.0,,1963.0
25%,15.0,,20.0,3000.0,21.0,345.0,,32.8225,271948499.0,-96.7831,36.0,1.0,38788.0,0.0,4.185185185185185,284332.0,,2017.0
50%,16.0,,41.0,3000.0,23.0,404.0,,36.0626,278059004.0,-82.5098,16827.0,1.0,54800.0,258.0,4.454545454545454,326107.0,,2017.0
75%,16.0,,120.0,3000.0,24.0,424.0,,40.5801,280013297.0,-76.1559,32042.0,2.0,83500.0,1999.0,4.738095238095238,373441.0,,2020.0
max,17.0,,1931.0,4700.0,25.0,590.0,,47.1668,281970313.0,-70.3491,128765.0,8.0,299000.0,26609.0,5.0,440395.0,,2020.0
