,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,30015.0,0.0,32860.0,32498.0,30015.0,32498.0,0.0,32860.0,32860.0,32860.0,30911.0,14731.0,32860.0,32860.0,32627.0,32858.0,0.0,32860.0
mean,19.679860069965017,,94.16640292148509,2654.6495168933475,26.593469931700817,302.2229060249862,,37.518754564819154,274069413.7593427,-87.51501110772932,25090.33619099997,1.5040391012151246,41369.03543791844,540.1181375532562,4.383640184939741,244690.33784770832,,2017.7895313451004
std,4.856564520821261,,118.88698099047046,745.2328200764603,3.7987870395034284,71.96515015932668,,5.239254455270585,9651493.27794479,11.12645497924937,39113.908828381405,0.872624684900505,21323.684568015167,980.0138324338484,0.44721381280864125,115240.79060707943,,4.333696403693905
min,10.0,,0.0,2000.0,15.0,130.0,,21.3935,72505407.0,-157.744,0.0,1.0,484.0,0.0,1.0,43037.0,,1939.0
25%,17.0,,19.0,2000.0,24.0,245.0,,33.6782,271069666.75,-94.34685,5.0,1.0,24998.0,0.0,4.183333333333334,155963.0,,2017.0
50%,20.0,,47.0,2300.0,26.0,280.0,,39.4,277616463.5,-84.3521,1646.0,1.0,40814.0,0.0,4.4375,280338.0,,2020.0
75%,21.0,,134.0,3000.0,29.0,335.0,,41.7186,280043333.5,-80.2617,35466.0,2.0,52827.0,762.0,4.666666666666667,315510.0,,2020.0
max,42.0,,2500.0,5400.0,39.0,494.0,,48.9237,281991100.0,-67.9974,398654.0,10.0,225000.0,15009.0,5.0,440476.0,,2021.0
