,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,26988.0,0.0,30603.0,28834.0,26988.0,28834.0,0.0,30603.0,30603.0,30603.0,29074.0,16135.0,30603.0,30603.0,30395.0,30603.0,0.0,30603.0
mean,20.14751000444642,,68.84357742704964,3027.3253797600055,27.884430117089078,269.0736977179718,,36.92384054831538,276030207.3724798,-90.77365439989424,33401.38673729105,1.4818717074682368,33658.29087311702,513.8868411593635,4.361383458449192,205298.69581413586,,2017.5135444237494
std,2.2376811450950465,,105.18958367318277,640.5964648624486,3.358985813369609,37.41155810426887,,4.843823209398643,8648379.61301639,15.702190650590865,46986.985978009085,0.85355219500581,15213.200596193548,853.8836386299449,0.4497861528436683,135557.53183514564,,3.9389711375578127
min,13.0,,0.0,1500.0,18.0,111.0,,21.3361,98730625.0,-157.913,0.0,1.0,250.0,0.0,1.0,41593.0,,1989.0
25%,19.0,,15.0,2400.0,26.0,272.0,,33.6516,275974346.0,-97.3047,8.0,1.0,22988.0,0.0,4.157894736842105,59879.0,,2017.0
50%,20.0,,34.0,3500.0,27.0,290.0,,38.3806,278748192.0,-86.8036,13196.0,1.0,33445.0,0.0,4.428571428571429,274601.0,,2019.0
75%,21.0,,65.0,3500.0,29.0,290.0,,40.6853,280396426.5,-77.78235,45209.25,2.0,45925.0,796.5,4.666666666666667,306955.5,,2020.0
max,39.0,,2150.0,3700.0,38.0,573.0,,48.5365,281995438.0,-68.3894,343639.0,11.0,259881.0,25759.0,5.0,440460.0,,2021.0
